id,popularity
000xQL6tZNLJzIrtIgxqSl,58
0010mZpCCwlPwoBiBsjoac,41
001m5KK2fu67yZ5ZW46LDZ,36
0032P9X3AD4AQvN7yzpmTo,0
004XT7kCZUEJkVIZjmBdDi,49
004skCQeDn1iLntSom0rRr,46
00598GIAcfDDzqccjZ4u44,0
005GaX6hvgeTFnR9FvejTE,46
005X0FmdtkM1kiutosXLTR,0
0062tddXmdVQgX1mMjVKUR,7
0069UNfEXsA1853CA0C6es,23
006AVH7fq061voGXkUiII4,36
006f4XC6oHnIKCYvlI5gbD,47
006r3Kh3rjAW6WgkSPTMzC,12
006yrnQMCZpiUgkR612gC8,37
007SutdC0rVG2CSkuQMtJw,32
007iY6FDvlAwN1DVlNo8rY,0
009n0zqtbcRTL7T4TiGf41,14
00ANnYctEGGhcmOJ5omaj8,35
00AivYmu1UVmxM91uhR9lM,44
00AxNl4D4jHL2AEf1W55j5,52
00BHe2yBtdOzhKPmI7rpTE,1
00BnfL75e8vHSGCmwUWbEk,48
00BuKLSAFkaEkaVAgIMbeA,0
00Bxugv8RqOqHRjOpQywzP,0
00Ci0EXS4fNPnkTbS6wkOh,59
00CmjeeHvAVKvx3tcIiZTy,47
00CqEmnPLFKDhAb3cuu6Cs,55
00CrtqaRkCyFjY1yiSYJWo,15
00DYRuYJQzfI6dH4Adkimo,0
00DdfpIoie5he0IVzNxUrh,34
00NEOQ7TQxvQP4Mcf8fN7y,12
00NRoYBOp7kzK6KNNczwZu,26
00NUqFMIpCsrYPbM9YpVHQ,0
00ODCfwZix0sfqSfBYT18Z,38
00OY7B2Tod8sXcZOaK2dIj,39
00QO92Jpi7yj7EtlkBtGn5,30
00RYiT3a2lNQ1wTKBQXWSw,45
00RYw42tKwXecTaVay3BKl,37
00ReeHCY0FQUyuAUyPJdnk,51
00Ro1lnV3V6i87aY4t8Q43,2
00S35gEf40z03JTJgvQMqi,0
00SlXYapXP5KuDarLc2hUJ,32
00TU7szqwBrxWTd9SO7ihK,54
00TrtYvW70veJbSlY6P13X,25
00TuAlmDT4ILjpoQEIsRlP,27
00VhiE2X6zzmURAOuhwRdh,0
00WAVv6mwCtAQQEgjuajKm,0
00WFoR7tPga5Wj92MSR3eD,32
00WVclSOdTPuLYTott68Wl,48
00Wnp2Nv4JzD5X7JO5Wz2E,0
00XCPYFqZQ3AKNH6q00io4,2
00XmnqMFIs9ra5gR2w6p6b,39
00Y89Ir6nXEQdKQb3GLjet,42
00YeYHw6zhoy1y7EPTgIkj,42
00YnfZzpODxlE6nNwfPCbv,38
00Zum0eGUHgcE5l8MoNuUG,37
00aQGaqM6SFzGfbgKOite0,45
00aURDjQqRtgBWcDgYgPXR,0
00aoFKbZxBH8vcfVAQg0HG,30
00bG1RjQJbmBQqXMTnLnia,0
00blYtuM22dQpn693F2BlC,40
00iCRJ7pk3onHablkLyVH1,46
00iKAhJMl5YBYfJRCmURg8,12
